t	fluks1	fluks2	P	Tf	Tc	v	I	Xe	Pm	Sm	z1	z2	rho	pcrit	Tfin	Tcin	mdotf	mdotc	c1	c2	c3	c4	c5	c6
20.5109545027	527217903.714	1.16239084529e+12	227190.16344	72.2851445561	56.6091580796	0.0	7.04564359906e+13	9.10206279673e+13	9.64080069676e+13	6.24144979939e+15	40.0	32.56	0.000423690513869	0.00643633	70.0	55.0	5.0	10.0	1345260623.65	3682969484.1	927628088.64	712128449.275	57075550.8488	7986071.07327
21.0305236454	530124415.846	1.1688416805e+12	228443.148048	72.305025534	56.6106388108	0.0	7.0456581815e+13	9.10206191843e+13	9.64080321184e+13	6.24144977437e+15	40.0	32.56	0.000418250153018	0.00643633	70.0	55.0	5.0	10.0	1346399617.27	3690013101.4	932334809.809	718007863.51	57704795.2868	8046793.8865
21.5363581141	532662792.757	1.17448088913e+12	229537.481119	72.3247494271	56.6122122252	0.0	7.04567297724e+13	9.10206102763e+13	9.6408057623e+13	6.24144974899e+15	40.0	32.56	0.00041285169426	0.00643633	70.0	55.0	5.0	10.0	1347550559.17	3697089522.9	936947428.475	723457710.789	58176787.7762	8091094.46077
22.0510470778	535032674.167	1.17975026617e+12	230559.217792	72.3450798724	56.6139106681	0.0	7.04568858226e+13	9.10206008839e+13	9.64080845102e+13	6.24144972221e+15	40.0	32.56	0.000407286091905	0.00643633	70.0	55.0	5.0	10.0	1348759370.47	3704477676.82	941643112.587	728714168.13	58565638.0758	8130104.65517
22.5472631635	537155633.656	1.18447432993e+12	231474.536195	72.364851057	56.6156160965	0.0	7.04570411272e+13	9.10205915387e+13	9.64081112584e+13	6.24144969557e+15	40.0	32.56	0.000401872491667	0.00643633	70.0	55.0	5.0	10.0	1349957316.56	3711755585.93	946153315.059	733508715.343	58882781.2468	8164352.10494
23.0500102485	539170204.483	1.18896051981e+12	232343.157447	72.3849895387	56.6173931807	0.0	7.04572030099e+13	9.10205817996e+13	9.64081391301e+13	6.24144966779e+15	40.0	32.56	0.000396357206518	0.00643633	70.0	55.0	5.0	10.0	1351200703.58	3719264246.16	950691262.78	738101580.686	59164438.1909	8196581.59269
23.558959497	541087631.121	1.19323347961e+12	233169.926115	72.4054320125	56.6192280952	0.0	7.04573712519e+13	9.10205716797e+13	9.64081680879e+13	6.24144963893e+15	40.0	32.56	0.00039075751769	0.00643633	70.0	55.0	5.0	10.0	1352487317.57	3726986249.6	955240921.24	742491711.907	59420366.5497	8227124.06061
24.0599837823	567885280.898	1.2526845983e+12	244775.38119	72.4338001741	56.6211820595	0.0	7.04575873014e+13	9.10205587212e+13	9.6408205171e+13	6.24144960193e+15	40.0	32.66	0.000617110644428	0.00643633	70.0	55.0	5.0	10.0	1354159609.93	3737215455.05	961885251.516	750855251.029	60704370.9279	8526200.88592
24.5760151664	572643989.397	1.26325379752e+12	246827.397487	72.4648193897	56.6234789492	0.0	7.04578259243e+13	9.10205444154e+13	9.64082461039e+13	6.24144956108e+15	40.0	32.66	0.000608609022338	0.00643633	70.0	55.0	5.0	10.0	1356003068.36	3748462311.68	969112521.475	759686448.017	61773559.7067	8665251.75116
25.0823998807	576716926.435	1.27231128513e+12	248583.798832	72.4958920881	56.6259451897	0.0	7.04580697894e+13	9.10205297978e+13	9.64082879221e+13	6.24144951933e+15	40.0	32.66	0.000600090060281	0.00643633	70.0	55.0	5.0	10.0	1357880173.35	3759855461.72	976273449.524	767998988.735	62570827.9028	8745699.31786
25.5988669777	580481925.967	1.28069284568e+12	250207.493046	72.5280156545	56.6286195029	0.0	7.04583273242e+13	9.10205143623e+13	9.64083320726e+13	6.24144947523e+15	40.0	32.66	0.000591280168814	0.00643633	70.0	55.0	5.0	10.0	1359854802.02	3771774601.81	983591587.179	776069346.797	63217407.8431	8810106.89532
26.1238389779	584006490.309	1.28854683381e+12	251727.576591	72.5609618086	56.6314571935	0.0	7.04585974391e+13	9.10204981741e+13	9.64083783688e+13	6.24144942898e+15	40.0	32.66	0.000582241703969	0.00643633	70.0	55.0	5.0	10.0	1361917382.97	3784152245.77	991007298.95	783840273.518	63761909.7113	8867668.91978
26.6054323289	587019751.705	1.29526747026e+12	253027.207928	72.5913420348	56.6341365269	0.0	7.04588520902e+13	9.10204829133e+13	9.64084220061e+13	6.24144938537e+15	40.0	32.66	0.000573904504397	0.00643633	70.0	55.0	5.0	10.0	1363853963.92	3795706810.26	997765413.771	790591156.262	64193741.6444	8916134.16353
